state_name,date,election_type,party,govt_type,election_key,state_abbr
mississippi,2006-06-06,p,np,congress,2006-06-06-p-MS,MS
montana,2006-06-06,p,np,congress,2006-06-06-p-MT,MT
new jersey,2006-06-06,p,np,congress,2006-06-06-p-NJ,NJ
new mexico,2006-06-06,p,np,congress,2006-06-06-p-NM,NM
south dakota,2006-06-06,p,np,congress,2006-06-06-p-SD,SD
maine,2006-06-13,p,np,congress,2006-06-13-p-ME,ME
north dakota,2006-06-13,p,np,congress,2006-06-13-p-ND,ND
south carolina,2006-06-13,p,np,congress,2006-06-13-p-SC,SC
virginia,2006-06-13,p,np,congress,2006-06-13-p-VA,VA
utah,2006-06-27,p,np,congress,2006-06-27-p-UT,UT
georgia,2006-07-18,p,np,congress,2006-07-18-p-GA,GA
oklahoma,2006-07-25,p,np,congress,2006-07-25-p-OK,OK
kansas,2006-08-01,p,np,congress,2006-08-01-p-KS,KS
tennessee,2006-08-03,p,np,congress,2006-08-03-p-TN,TN
colorado,2006-08-08,p,np,congress,2006-08-08-p-CO,CO
connecticut,2006-08-08,p,np,congress,2006-08-08-p-CT,CT
michigan,2006-08-08,p,np,congress,2006-08-08-p-MI,MI
missouri,2006-08-08,p,np,congress,2006-08-08-p-MO,MO
nevada,2006-08-15,p,np,congress,2006-08-15-p-NV,NV
alaska,2006-08-22,p,np,congress,2006-08-22-p-AK,AK
